FIPS,CountyName,State,hf_case_fatality,unemployment,no_hs_diploma,pct_black,hospitals,pop_per_pcp,poverty,uninsured_under65,pct_hispanic,urban_rural,diuretic_nonadherence,ras_nonadherence,pm25,heart_disease_prev,cardiac_rehab_participation,ma_penetration,hf_hosp_rate,ffs_beneficiaries,est_hosp_volume
10001,Kent,DE,2.1,4.3,9,26.4,1,1.9,10.2,8.1,8.1,3,23.8,15.7,7.6,34.5,28.8,19.55,18.0,30151,542718.0
10003,New Castle,DE,1.6,3.9,7.4,24.8,3,1.1,10.3,7.1,11.7,2,23.9,16.5,8.6,30.1,47.3,21.3,16.4,80889,1326579.6
10005,Sussex,DE,2.9,3.8,9.8,9.7,2,1.7,9.5,9.1,11.5,4,22.4,15.2,7.6,36.4,36.1,15.78,13.6,62924,855766.4
11001,District of Columbia,DC,2.6,5.3,7.3,41.6,7,0.8,16.4,3.2,11.9,1,27.4,21.6,8.9,24.1,15.3,22.49,17.6,73200,1288320.0
12001,Alachua,FL,2.4,3.8,5.5,18.9,3,0.7,22.9,11.1,12.5,3,26.2,18.4,7.1,30.3,21.2,29.02,14.8,32474,480615.2
12005,Bay,FL,2.7,3.3,8.6,9.8,2,2.1,11.6,14.9,9.1,3,28.7,20.3,8.4,35.7,16.6,30.22,14.1,25863,364668.3
12009,Brevard,FL,3,3.5,6.7,9.3,7,1.5,10.1,11.9,12.2,3,25.7,18.5,6.7,34.6,27.9,43.69,13.0,89315,1161095.0
12011,Broward,FL,2.3,3.2,9.6,27.3,13,1.4,11.7,12.9,32.7,2,26.1,17.8,8.9,34.8,19.9,59.36,14.8,134894,1996431.2
12015,Charlotte,FL,2.8,4.1,7.5,5,3,1.7,9.3,12.4,8.2,3,24.4,17.2,7.7,39.1,33.9,41.7,13.7,41314,566001.8
12017,Citrus,FL,2.3,4.9,8.6,1.7,2,2.2,13.5,14,6.9,3,26,17,7.8,37.3,22.6,45.16,17.4,32810,570894.0
